Qty,Booking Agent,Receipt,Loading Port,Vessel/Voyage,Vessel Name,Pack,Teus,Container,Booking Reference,BL Number,Next POD,Discharge Port,Delivery,Discharge Instructions,Gross Wgt,Bkg Pty Name,Quote Ref/US SVC,Decider Fullname,Hazardous,Reefer Flag,OOG Flag,Original Reference,Transhipment Port,Current,Verified Gross Mass
6,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295058,,MTMLA,LYMRA,,,6400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
6,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295058,,MTMLA,LYMRA,,,6400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
6,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295058,,MTMLA,LYMRA,,,6400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
6,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295058,,MTMLA,LYMRA,,,6400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
6,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295058,,MTMLA,LYMRA,,,6400,HOPESTAR LOGISTICS CO LTD,QZSN006659,HOPESTAR LOGISTICS CO LTD,N,N,N,EUNICE,MTMLA,CNNSA,,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40ST,2,UNASSIGNED,ZSN0295116,,MTMLA,DZALG,,DZALS,12600,SHANGHAI QIANDAO INTL LOG CO LTD,CL004477994-10-001,INTER CARGO LOGISTIQUE ALGERIE,N,N,N,EUNICE,MTMLA,CNNSA,,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295116,,MTMLA,DZALG,,DZALS,13700,SHANGHAI QIANDAO INTL LOG CO LTD,CL004477994-10-001,INTER CARGO LOGISTIQUE ALGERIE,N,N,N,EUNICE,MTMLA,CNNSA,,
2,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295117,,MTMLA,DZALG,,DZALS,13700,SHANGHAI QIANDAO INTL LOG CO LTD,CL004477994-10-001,INTER CARGO LOGISTIQUE ALGERIE,N,N,N,EUNCIE,MTMLA,CNNSA,,
2,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295117,,MTMLA,DZALG,,DZALS,13700,SHANGHAI QIANDAO INTL LOG CO LTD,CL004477994-10-001,INTER CARGO LOGISTIQUE ALGERIE,N,N,N,EUNCIE,MTMLA,CNNSA,,
1,ZSN,CNZSN,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,20ST,1,UNASSIGNED,ZSN0295154,,ESVLC,MQFDF,,,12200,SINOPORT GROUP LIMITED,QSIJ007650,SIFA TRANSIT,N,N,N,KITTY,ESVLC,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
16,ZSN,,CNNSA,0ME39W1MA,CMA CGM CASSIOPEIA,40HC,2,UNASSIGNED,ZSN0295175,,MTMLA,DZSKI,,,7400,GZ MIDEA HUALING REFRIGERATOR CO,CL001134380-10-001,SATEREX EURL,N,N,N,EUNICE,MTMLA,CNNSA,,
